"ASV","Taxon","Confidence"
"0e319de500ec706f88f673db241b029d","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Subgroup_2; f__Subgroup_2; g__Subgroup_2","0.9838487"
"d80fac72b6f0fbf6c91b3cec4bd5ff95","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Subgroup_2; f__Subgroup_2; g__Subgroup_2; s__uncultured_soil","0.7749549"
"70d7b1809f14ace80f630def416e5dcd","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Subgroup_2; f__Subgroup_2; g__Subgroup_2","0.9450844"
"7e768e55367c2733313c45196dd31b0b","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Subgroup_2; f__Subgroup_2; g__Subgroup_2","0.9998312"
"28662cf6ac685f0f434cca98b972baca","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Subgroup_2; f__Subgroup_2; g__Subgroup_2","0.9998949"
"c4d2aac1e4c04598180a657fbe26eea4","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Subgroup_2; f__Subgroup_2; g__Subgroup_2","0.9999226"
"22f65c646a2625864f0b7df957d0fa5c","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Subgroup_2; f__Subgroup_2; g__Subgroup_2","0.9930140"
"38bf018fc06ff95c4e0e8a901938d097","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Subgroup_2; f__Subgroup_2; g__Subgroup_2","0.9991673"
"01a900fa27759432a4a54f14c13d6bb9","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Subgroup_13; f__Subgroup_13; g__Subgroup_13","0.9975996"
"bc643cf4ffe3a713359d0d904677325d","d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales; f__uncultured; g__uncultured","0.9887130"
"999a875b346de7d4678fbc36e4278542","d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales; f__Gimesiaceae; g__uncultured; s__uncultured_bacterium","0.8745697"
"376ab1c305f9993a2ed42b632a2bcc9c","d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Myxococcaceae","0.9614542"
"93ab1ef203fd12da97af34cdbf143b3e","d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Polyangiaceae; g__Pajaroellobacter","0.7704005"
"4edf4fc7324ba1ab72b32b743f57fc91","d__Bacteria; p__RCP2-54; c__RCP2-54; o__RCP2-54; f__RCP2-54; g__RCP2-54","0.7779290"
"cfd26846d24e22f1f1e2d8af1f479683","d__Bacteria; p__Elusimicrobiota; c__Elusimicrobia; o__Lineage_IV; f__Lineage_IV; g__Lineage_IV","0.7986330"
"0df3e09b41167fd3d4ec35533641d0fc","d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__Conexibacter","0.9580381"
"0a41bf6851bcce501e9fb0c8806e876d","d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__uncultured","0.9871201"
"6243b47ac5399caa6235c2fbbe8f18bf","d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__Conexibacter","0.8879984"
"8683eae6d6ec2272690f8cd955930989","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae","0.8372052"
"a7d46163304fe85a75388ae5f28c3331","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales","0.9995014"
"829b14daae13aabcf97952685624a5f9","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia-Caballeronia-Paraburkholderia","0.9643657"
"267f3f0201d0ab8645c3d5fbee863c5d","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__JG36-TzT-191; f__JG36-TzT-191; g__JG36-TzT-191","0.9828684"
"f4e07bcd4774b5fcff2e6f574e3f7274","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria","0.9964557"
"41fb23aaf5235df76f87af7a94ac881d","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Gammaproteobacteria_Incertae_Sedis; f__Unknown_Family; g__Acidibacter","0.7079409"
"c2b7a31c7f82fb6e79aa327f31819ba9","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Gammaproteobacteria_Incertae_Sedis; f__Unknown_Family; g__Acidibacter","0.8611340"
"c895aa4014508d707a7645cf8701e53c","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria","0.9986474"
"c2fc4495bac6b3a82ab3cbb1dc8371d3","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales","0.8657309"
"8075b107cdacf5b6fb9e733d47cd60e0","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__WD260; f__WD260; g__WD260; s__uncultured_Steroidobacter","0.7896642"
"5029dc52093b0b31ced41425987f8f96","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__WD260; f__WD260; g__WD260; s__uncultured_bacterium","0.7292283"
"9824b66722ff8ef0163e3bbabaf16f2f","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__WD260; f__WD260; g__WD260; s__uncultured_bacterium","0.7162500"
"dbf28b92e45be8579c4aac2308e2098d","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__WD260; f__WD260; g__WD260; s__uncultured_Steroidobacter","0.7385287"
"7b0d6970e21ed778b162be105e626557","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__WD260; f__WD260; g__WD260; s__uncultured_bacterium","0.7233515"
"e584faf512f3b32ce1bbe71f6c3cf79a","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Solibacterales; f__Solibacteraceae; g__Candidatus_Solibacter; s__uncultured_Acidobacteriaceae","0.9408665"
"aa53cad602b37f1227b8142025356f8d","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Solibacterales; f__Solibacteraceae; g__Candidatus_Solibacter","0.9858871"
"4a97190b630d7f8c502c0147035d29a9","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Solibacterales; f__Solibacteraceae; g__Candidatus_Solibacter; s__uncultured_forest","0.9875570"
"00fe0cc7cf468bc22a98ed38d803172e","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Solibacterales; f__Solibacteraceae; g__Candidatus_Solibacter","0.7723266"
