"ASV","Taxon","Confidence"
"4a9d8141df0cd8e41931289c6de4276d","d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__uncultured; g__uncultured","0.9892017"
"469bb294ad3b1608bf046895df6e3bce","d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__uncultured; g__uncultured","0.9734903"
"9f125cd5a60a88f124a0ed1e4d8cfbda","d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__Vicinamibacteraceae; g__Vicinamibacteraceae","0.9352321"
"25fe7b7932e22334f75f8ad37666f825","d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Subgroup_7; f__Subgroup_7; g__Subgroup_7","0.9929773"
"b5a5dc40f560e434566997f583a27d18","d__Bacteria","0.9943402"
"289ca61a4fe1ced115acfd48b8ede30b","d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Spirochaeta","0.8083385"
"f9a667da45243bd1a6bd62135d19401c","d__Bacteria","0.9961223"
"8092d8a258e399ac9da759b3a0d8519a","d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Spirochaeta","0.7402261"
"6a7b1ea07bc1edf090822b552ef46ae5","d__Bacteria","0.9948508"
"216359d1d88132650c25b9bc1fa720c8","d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Spirochaeta; s__uncultured_soil","0.9981817"
"3ca46e131caa1b1959d80b4efdfa4dce","d__Bacteria; p__Acidobacteriota; c__Subgroup_11; o__Subgroup_11; f__Subgroup_11; g__Subgroup_11; s__uncultured_bacterium","0.9853148"
"e86d366bdfc899aa0a79889b0860f51b","d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured","0.8324980"
"6e2073416e0ba2222704c1c775037246","d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__denitrifying_bacterium","0.9901281"
"8bb6adaaba6211a7feaef4fa93fe524f","d__Bacteria; p__Acidobacteriota; c__Blastocatellia","0.9996749"
"c59768a0cba53f0e1141c9ba541b6cbc","d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41","0.9873667"
"d580d090a3c61db024857a0caaeba8cc","d__Bacteria","0.9999996"
"8d20b5539f7ea093b96ad0bf482a2d34","d__Bacteria; p__Myxococcota; c__bacteriap25; o__bacteriap25; f__bacteriap25; g__bacteriap25","0.9032101"
"6897f63e9d3b8ea1bd9e6b7005e5f886","d__Bacteria; p__RCP2-54; c__RCP2-54; o__RCP2-54; f__RCP2-54; g__RCP2-54; s__uncultured_prokaryote","0.8279740"
"db2fd39cec9070a00181d9fa7762e17e","d__Bacteria; p__Firmicutes; c__Desulfitobacteriia; o__Desulfitobacteriales; f__Desulfitobacteriaceae; g__Desulfosporosinus","0.9954518"
"8c8d4943b81a333bb3654cc02371ed27","d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Pirellulales; f__Pirellulaceae; g__Pir4_lineage; s__uncultured_Planctomycetaceae","0.7841022"
"1ef28bd8cfc52a7c04a1834300b38734","d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Subgroup_17; f__Subgroup_17; g__Subgroup_17","0.9984372"
"e03033dfba2f4d03c5f805cc3b9619d3","d__Bacteria","0.9999997"
"86b4fdc9c1e60f05c86ca87dbda18d33","d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales","0.9512027"
"e0708b071cf801fd4bef63554e3e24d5","d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Myxococcaceae; g__uncultured; s__metagenome","0.7288663"
"7756fcebfd0b45e917507dbe9169891c","d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Myxococcaceae","0.9575324"
"8d46edfd97bc097f7ef586fa10b587c3","d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Myxococcaceae","0.9835466"
"4abab00f74ab35e28042cdced5feb608","d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales","0.9521212"
"ef69a795d20079b874c29e43a1dc08fd","d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales","0.9584644"
"ee6857353f686cc20896935e5fc50b43","d__Bacteria; p__Zixibacteria; c__Zixibacteria; o__Zixibacteria; f__Zixibacteria; g__Zixibacteria; s__uncultured_prokaryote","0.9871393"
"2d97b6585a77372daef6e83c6e4eaefb","d__Bacteria; p__Methylomirabilota; c__Methylomirabilia; o__Rokubacteriales; f__WX65; g__WX65","0.9999492"
"c1507d63006d037547451b2d3e2a7882","d__Bacteria; p__Spirochaetota; c__Leptospirae; o__Leptospirales; f__Leptospiraceae; g__RBG-16-49-21; s__microbial_mat","0.9115285"
"0dfe10f51d5c237176ad40a5fcea89e5","d__Bacteria; p__Acidobacteriota; c__Subgroup_22; o__Subgroup_22; f__Subgroup_22; g__Subgroup_22; s__uncultured_Holophaga","0.9901534"
"7f10104722f61ac88e02adcfe4d08c17","d__Bacteria; p__NB1-j; c__NB1-j; o__NB1-j; f__NB1-j; g__NB1-j","0.9429176"
"9b1cac99e1f21e3de49c43189cffafba","d__Bacteria; p__NB1-j; c__NB1-j; o__NB1-j; f__NB1-j; g__NB1-j; s__uncultured_proteobacterium","0.9048946"
"8fa8096cc08dfb148168726e744cd95c","d__Bacteria; p__Desulfobacterota; c__Syntrophia; o__Syntrophales; f__uncultured; g__uncultured; s__uncultured_Smithella","0.9442492"
"dd62467d67879ba878576054bfe38752","d__Bacteria; p__Desulfobacterota; c__Syntrophia; o__Syntrophales; f__Smithellaceae; g__Smithella","0.8866896"
"b0296689f9ff9c41a596d7584f735cb1","d__Bacteria; p__Desulfobacterota; c__Syntrophia; o__Syntrophales; f__Syntrophaceae; g__Syntrophus; s__uncultured_Syntrophaceae","0.7230550"
"f1eec3f499ebea36ba769704a1726e2d","d__Bacteria; p__Desulfobacterota; c__Syntrophia; o__Syntrophales; f__Syntrophaceae; g__Syntrophus; s__uncultured_prokaryote","0.7683354"
"058ec635b380ec747c1203af82f9c9a5","d__Bacteria; p__Desulfobacterota; c__Syntrophia; o__Syntrophales; f__Syntrophaceae; g__Syntrophus","0.9753574"
"e3fa2cb46dcd75ca6bdba66b890c2ab2","d__Bacteria; p__Desulfobacterota; c__Syntrophia; o__Syntrophales","0.9813727"
"0b6e40cf1f96faec8998b45e6f2460b7","d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Phaselicystidaceae; g__Phaselicystis; s__uncultured_Polyangiaceae","0.9657882"
"989b9a4248f30c8cbb14ebc0e7285dbb","d__Bacteria; p__Desulfobacterota; c__Syntrophobacteria; o__Syntrophobacterales; f__uncultured; g__uncultured","0.9284388"
"3fbc2e3dce479e2dc3d15a8512f42232","d__Bacteria; p__Desulfobacterota; c__Syntrophobacteria; o__Syntrophobacterales; f__uncultured; g__uncultured; s__Deltaproteobacteria_bacterium","0.7668246"
"dd252c9ce161049fb628969b079e7cc4","d__Bacteria; p__Desulfobacterota; c__Syntrophobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae; g__Syntrophobacter; s__uncultured_soil","0.8068453"
"b67098669b58de93864f3363bb8d5fa4","d__Bacteria; p__Desulfobacterota; c__uncultured; o__uncultured; f__uncultured; g__uncultured; s__uncultured_Dongia","0.9034313"
"ac13eb8b24170fc15cccadf266e19a7c","d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales","0.9428128"
"bf8498ef818182a61b2e720bd36a767a","d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales","0.9299982"
"ba15f7b78aabf24bc3bd7d535d2d9f4c","d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales","0.8724285"
"eadf7997718808681f6e71f130b476f5","d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Myxococcaceae; g__P3OB-42; s__metagenome","0.8379518"
"f6f485cd1fff06245219f0c1af2869a0","d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Anaeromyxobacteraceae; g__Anaeromyxobacter","0.9486140"
"d0edbc0ec86631e2d9b97468806e9ba8","d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Anaeromyxobacteraceae; g__Anaeromyxobacter; s__uncultured_soil","0.8753396"
"91ef988959646a7612cea6160cb4b69a","d__Bacteria; p__MBNT15; c__MBNT15; o__MBNT15; f__MBNT15; g__MBNT15; s__uncultured_prokaryote","0.9594362"
