"ASV","s.high","s.low","index","stat","p.value","Domain","Phylum","Class","Order","Family","Genus","Species","Confidence"
"1c520db9aff1a3cd3320eae598c3cc3e",0,1,2,0.405529781271191,0.01,"d__Bacteria","p__Methylomirabilota","c__Methylomirabilia","o__Methylomirabilales","f__Methylomirabilaceae","g__Candidatus_Methylomirabilis","s__uncultured_Firmicutes","0.8865665"
"f6aaabd473f8a8b3dd06e661c7329592",0,1,2,0.577553100062801,0.005,"d__Bacteria","p__Methylomirabilota","c__Methylomirabilia","o__Methylomirabilales","f__Methylomirabilaceae","g__Candidatus_Methylomirabilis","s__uncultured_Firmicutes","0.9531794"
"0304675c5f37b901ad3a71f1a5c5302e",1,0,1,0.235702260395516,0.03,"d__Bacteria","p__Methylomirabilota","c__Methylomirabilia","o__Methylomirabilales","f__Methylomirabilaceae","g__Sh765B-TzT-35","s__uncultured_bacterium","0.7118333"
"cc8656fde093698cbc8a6290293be6e7",1,0,1,0.403590433460194,0.01,"d__Bacteria","p__Methylomirabilota","c__Methylomirabilia","o__Methylomirabilales","f__Methylomirabilaceae","g__Sh765B-TzT-35",NA,"0.9997853"
"fa17749112ca5ed5def46701243e81d5",1,0,1,0.296279215503196,0.005,"d__Bacteria","p__Methylomirabilota","c__Methylomirabilia","o__Methylomirabilales","f__Methylomirabilaceae","g__Sh765B-TzT-35","s__uncultured_bacterium","0.7126056"
"d8d970813899feb123d451d6acf7970b",0,1,2,0.306924907022426,0.045,"d__Bacteria","p__Methylomirabilota","c__Methylomirabilia","o__Methylomirabilales","f__Methylomirabilaceae","g__Sh765B-TzT-35","s__uncultured_soil","0.7429267"
"cc3032fadd7c635d7e3c41596ef5a433",0,1,2,0.56465970257328,0.005,"d__Bacteria","p__Methylomirabilota","c__Methylomirabilia","o__Methylomirabilales","f__Methylomirabilaceae","g__Sh765B-TzT-35",NA,"0.9995609"
"d495b37ff436028b0bb94422c5624de8",1,0,1,0.384900179459751,0.005,"d__Bacteria","p__Methylomirabilota","c__Methylomirabilia","o__Methylomirabilales","f__Methylomirabilaceae","g__Sh765B-TzT-35",NA,"0.9983998"
"4d258b92eeec92bace8ab4b427fcba30",0,1,2,0.427296479045264,0.005,"d__Bacteria","p__Methylomirabilota","c__Methylomirabilia","o__Methylomirabilales","f__Methylomirabilaceae","g__Sh765B-TzT-35","s__uncultured_bacterium","0.8128094"
"31a1a1b6fc8f69576cbaa34ea13f791b",1,0,1,0.384900179459751,0.005,"d__Bacteria","p__Methylomirabilota","c__Methylomirabilia","o__Methylomirabilales","f__Methylomirabilaceae","g__Sh765B-TzT-35","s__uncultured_bacterium","0.8677934"
"e833d946406be6aa038b649a050e0d70",0,1,2,0.380693493813441,0.02,"d__Bacteria","p__Methylomirabilota","c__Methylomirabilia","o__Methylomirabilales","f__Methylomirabilaceae","g__Sh765B-TzT-35","s__uncultured_bacterium","0.9283142"
"d83e44d92cebdf9ad0509aef657b3e3a",0,1,2,0.64651325936299,0.005,"d__Bacteria","p__Methylomirabilota","c__Methylomirabilia","o__Methylomirabilales","f__Methylomirabilaceae","g__Sh765B-TzT-35","s__uncultured_bacterium","0.9029801"
"2e203fe9b69019ac0c5c1b0fa4476e15",0,1,2,0.361157559257308,0.025,"d__Bacteria","p__Methylomirabilota","c__Methylomirabilia","o__Methylomirabilales","f__Methylomirabilaceae","g__Sh765B-TzT-35","s__uncultured_bacterium","0.9167151"
